Goalkeeper
Left Back
Left Center Back
Center Back
Right Center Back
Right Back
Left Wing Back
Left Defensive Midfield
Left Center Midfield
Center Defensive Midfield
Center Midfield
Center Attacking Midfield
Right Center Midfield
Right Defensive Midfield
Right Wing Back
Left Midfield
Right Midfield
Left Wing
Right Wing
Left Attacking Midfield
Right Attacking Midfield
Left Center Forward
Center Forward
Right Center Forward
Secondary Striker
